"elite","latitude","longitude"
"Alvaro Uribe Velez",2.1734035,41.3850639
"Alvaro Uribe Velez",-79.0058965,-2.9001285
"Alvaro Uribe Velez",-73.2436335,10.4742449
"Alvaro Uribe Velez",-71.0588801,42.3600825
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-75.6756888,4.5350004
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-115.4522623,32.6245389
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-82.6402915,27.7676008
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-64.6334643,10.2007985
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-104.990251,39.7392358
"Alvaro Uribe Velez",-80.1917902,25.7616798
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-71.0588801,42.3600825
"Alvaro Uribe Velez",-76.5319854,3.4516467
"Alvaro Uribe Velez",-74.297333,4.570868
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.0059728,40.7127753
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-75.8785348,8.750983
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-4.7672584,37.9027396
"Alvaro Uribe Velez",-96.7656444,44.310455
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",24.9383791,60.1698557
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-66.1057355,18.4655394
"Alvaro Uribe Velez",-75.153467,6.231137
"Alvaro Uribe Velez",-75.5138166,5.070275
"Alvaro Uribe Velez",-75.89955,9.26909
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-71.4774291,41.5800945
"Alvaro Uribe Velez",-74.297333,4.570868
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-84.3640829,33.7589188
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-73.2436335,10.4742449
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-73.7144477,41.0400135
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-81.7075787,12.5450153
"Alvaro Uribe Velez",-99.1373136,19.4361609
"Alvaro Uribe Velez",-73.3035651,41.4141172
"Alvaro Uribe Velez",-73.5662378,45.4981918
"Alvaro Uribe Velez",-73.1069693,7.0723921
"Alvaro Uribe Velez",9.2464017,45.4703251
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-115.4522623,32.6245389
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",7.7521113,48.5734053
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-3.7037902,40.4167754
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-118.4003563,34.0736204
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-76.930524,39.005728
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-75.375085,6.144837
"Alvaro Uribe Velez",-90.230759,15.783471
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-76.5319854,3.4516467
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-80.1917902,25.7616798
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-75.5719863,6.2779398
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-66.9036063,10.4805937
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-95.6751576,39.0473451
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-75.3412179,7.1986064
"Alvaro Uribe Velez",-8.8894825,39.243323
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-70.6504896,-33.4375545
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.2110227,11.2403547
"Alvaro Uribe Velez",8.227512,46.818188
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-71.4270553,41.821433
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-99.1373136,19.4361609
"Alvaro Uribe Velez",-97.2293223,33.0030876
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-81.3578859,41.1536674
"Alvaro Uribe Velez",-74.2110227,11.2403547
"Alvaro Uribe Velez",-80.1917902,25.7616798
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-75.5812119,6.244203
"Alvaro Uribe Velez",-99.133208,19.4326077
"Alvaro Uribe Velez",-76.5319854,3.4516467
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-70.6692655,-33.4488897
"Alvaro Uribe Velez",-74.5065537,10.9818508
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-86.241905,15.199999
"Alvaro Uribe Velez",-72.4966896,7.8890971
"Alvaro Uribe Velez",-80.1917902,25.7616798
"Alvaro Uribe Velez",-73.9981597,40.5721531
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-94.6098064,38.9835187
"Alvaro Uribe Velez",-75.5812119,6.244203
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-64.7782313,46.0878165
"Alvaro Uribe Velez",-66.9036063,10.4805937
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.0325368,4.8615787
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-95.986942,36.2067586
"Alvaro Uribe Velez",-74.0520439,7.9629547
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-111.0937311,34.0489281
"Alvaro Uribe Velez",-75.5812119,6.244203
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.0059728,40.7127753
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-1.2464674,51.7612056
"Alvaro Uribe Velez",-95.712891,37.09024
"Alvaro Uribe Velez",-85.4807825,32.6098566
"Alvaro Uribe Velez",8.541694,47.3768866
"Alvaro Uribe Velez",-87.6297982,41.8781136
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-99.133208,19.4326077
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-77.7355496,38.9687211
"Alvaro Uribe Velez",72.8776559,19.0759837
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",113.921327,-0.789275
"Alvaro Uribe Velez",113.921327,-0.789275
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.297333,4.570868
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-76.5319854,3.4516467
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-73.362003,5.454511
"Alvaro Uribe Velez",-99.1373136,19.4361609
"Alvaro Uribe Velez",-75.3412179,7.1986064
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-155.5827818,19.8967662
"Alvaro Uribe Velez",-122.1660756,37.424106
"Alvaro Uribe Velez",-74.2110227,11.2403547
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",39.4387778,39.3073554
"Alvaro Uribe Velez",-74.1126808,4.5950611
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-66.590149,18.220833
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-77.285787,1.2058837
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-87.6297982,41.8781136
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-75.5276699,2.5359349
"Alvaro Uribe Velez",-69.8597406,10.1537842
"Alvaro Uribe Velez",-75.3905567,9.3045773
"Alvaro Uribe Velez",-111.8790081,40.7621873
"Alvaro Uribe Velez",-87.6297982,41.8781136
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-111.7956962,40.3768203
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-115.4522623,32.6245389
"Alvaro Uribe Velez",-74.072092,4.7109886
"Alvaro Uribe Velez",-80.1917902,25.7616798
"Alvaro Uribe Velez",NA,NA
"Alvaro Uribe Velez",-76.8259652,2.7049813
"Alvaro Uribe Velez",-63.588653,-16.290154
"Alvaro Uribe Velez",-74.297333,4.570868
"Alvaro Uribe Velez",NA,NA
